Video Name,Diameters
18-10-24_15-31-20_VIDEO_OJO_UX.avi,"42, 42, 48, 48, 42, 44"
18-10-24_15-32-20_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 48, 46, 44, 46, 40, 44, 44, 42, 40, 48, 46, 40, 48, 44, 44, 40, 40, 42, 42, 48, 40, 40, 40, 42, 42, 42, 42, 42, 40, 42, 40, 40, 40, 40, 42, 46, 40, 44, 40, 40, 42, 42, 44, 44, 46, 40, 48, 48, 44, 44, 42, 40, 44, 40, 40, 42, 42, 42, 48, 48, 44, 44, 46, 46, 48, 48, 42, 42, 44, 44, 44, 44, 42, 42, 42, 42, 48, 48, 42, 42, 44, 44, 42, 42, 48, 42, 46, 48, 42, 42, 48, 42, 42, 48, 42, 42, 42, 48, 42, 42, 48, 42, 46, 46, 48, 44, 44, 44, 48, 48, 42, 40, 42, 46, 46, 44, 48, 48, 44, 44, 42, 42, 42, 42, 42, 42, 42, 46, 42"
18-10-24_15-33-20_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 46, 46, 48, 40, 40, 46, 46, 46, 46, 46, 44, 44, 48"
18-10-24_15-34-20_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 48, 46, 42, 48, 48, 46, 46, 46, 46, 44, 44, 40, 42, 42, 42, 42, 44, 42, 42, 40, 40, 46, 48, 42, 42"
18-10-24_15-35-20_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 44, 44, 44, 44, 40, 40, 46, 42, 42, 46, 40, 40, 44, 48, 44, 46, 46, 44, 48, 48, 48, 42"
18-10-24_15-36-20_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 44, 44, 44, 44, 44, 48, 46, 42, 42, 42, 44, 42, 42, 44, 48, 44, 44, 46, 42, 40, 40, 40, 40, 44, 42, 42, 44, 46, 40, 42, 42, 42, 42, 42, 40, 48, 44, 42, 42, 42, 48, 44, 44, 42, 42, 46, 46, 46, 46, 44, 46, 46, 42, 42, 42, 48, 48, 48, 48"
18-10-24_15-37-20_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 46"
18-10-24_15-38-20_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 42, 42, 44, 46, 44, 48"
18-10-24_15-39-20_VIDEO_OJO_UX.avi,"48, 48, 46, 48, 48"
18-10-24_15-41-10_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 44, 44, 48, 42, 40, 42, 42, 48, 44, 44, 46, 42, 42, 42"
18-10-24_15-41-20_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 42, 48, 48, 40, 40, 46, 46, 40, 40, 46, 46, 42, 42, 42, 42, 42, 42, 42, 44, 44, 42, 42, 42, 42, 40, 40, 42, 42, 44, 44, 44, 44, 40, 48, 44, 44, 42, 48, 40, 40"
18-10-24_15-42-20_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 48, 48, 48, 44, 44, 40, 40, 44, 46, 44, 42, 44, 44, 44, 42, 42, 42, 44, 44, 44, 42, 42, 48, 48, 48, 48, 44, 48, 44, 42, 42, 42, 44, 44, 46, 44, 48, 48, 46, 46, 46, 42, 44, 46, 44, 44, 46, 40, 46, 46, 40, 42, 42, 46, 46, 44, 44, 46"
18-10-24_15-43-20_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 48, 42, 42, 40, 40, 46, 46, 46, 44, 42, 42, 46, 46, 44, 44, 42, 42, 46, 40, 40, 42, 44, 44, 44, 44, 42, 42, 42, 44, 44, 44, 42, 40, 42, 42, 44, 44, 46, 44, 48, 48, 42, 42, 42, 44, 48, 46, 46, 42, 48, 42, 42, 42, 42, 42, 42, 40, 40, 48, 48, 40, 42, 46, 46, 42, 42, 42, 46, 46, 44, 44, 42, 46, 42, 42, 42, 42, 42, 42, 46, 46, 48, 44, 42, 42, 42, 42, 44, 46, 44, 44, 46, 46, 40, 44, 46, 42, 42, 42, 44, 44, 44, 42, 42, 48, 48, 44, 48, 48, 48, 42, 48, 48"
18-10-24_15-44-20_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 48, 48, 48, 44, 46, 40, 42, 40, 46, 42, 46, 44, 48, 44, 44, 44, 48, 48, 42, 42, 48, 44, 42, 42, 42, 42, 48, 48, 44, 44, 40, 46, 44, 44"
18-10-24_15-46-10_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 46, 46, 42, 42, 42, 42, 42, 42, 48, 48, 42, 42, 48, 48, 48, 44, 46, 46, 42, 42, 46, 42, 48, 48, 46, 46, 42, 44, 48, 48, 48, 48, 48, 46, 44, 46, 46, 46, 46, 48, 48, 42, 48, 48, 48, 48, 48, 48, 42, 42, 46, 46, 40, 46, 42, 42, 48, 48, 42, 42, 46, 46, 46, 46, 46, 48, 42, 42, 46, 48, 44, 44, 44, 48, 46, 46, 46, 48, 48, 48, 46, 46, 48, 48, 48, 46, 46, 46, 46, 48, 46, 46, 46, 48, 48, 48, 48, 48, 48, 46, 46, 46, 46, 48, 48, 48, 48, 46, 46, 42, 42, 48, 48, 48, 48, 42, 42, 48, 48, 46, 46, 46, 46, 46, 48, 42, 48, 46, 46, 42, 48, 48, 48, 46, 48, 48, 48, 46, 48, 48, 48, 42, 48, 46, 48, 46, 46, 48, 48, 48, 44, 48, 48, 46, 46, 48, 48, 46, 46, 48, 48, 48, 48, 48, 48, 48, 42, 48, 42, 46, 46, 48, 48, 46, 46, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 42, 42, 42, 48, 48, 48, 48, 48, 42, 42, 42, 46, 42, 46, 42, 42, 46, 46, 48, 48, 48, 48, 48, 48, 46, 46, 48, 48, 48, 48, 48, 48, 46, 48, 48, 48"
18-10-24_15-46-20_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 42, 44, 42, 42, 48, 48, 44, 44, 48, 42, 42, 42, 44, 44, 46, 46, 44, 44, 42, 46, 46, 48, 48, 42, 46, 42, 42, 42"
